Fid	Value	Feature	Reference	Area
125A	Deranked	Purpose Clauses	Mahootian 1997: 39 	Complex Sentences	
126A	Balanced	'When' Clauses	Mahootian 1997: 38 	Complex Sentences	
127A	Balanced	Reason Clauses	Mahootian 1997: 39-40 	Complex Sentences	
128A	Balanced	Utterance Complement Clauses	Mahootian 1997: 2 	Complex Sentences	
131A	Decimal	Numeral Bases	Mahootian 1997: 266-267 	Lexicon	
136A	M-T pronouns, paradigmatic	M-T Pronouns	Mahootian 1997 	Lexicon	
136B	m in first person singular	M in First Person Singular	Mahootian 1997 	Lexicon	
137A	No N-M pronouns	N-M Pronouns	Mahootian 1997 	Lexicon	
137B	No m in second person singular	M in Second Person Singular	Mahootian 1997 	Lexicon	
138A	Words derived from Sinitic cha	Tea	Malherbe and Rosenberg 1996: 1321	Lexicon	
142A	Logical meanings	Para-Linguistic Usages of Clicks		Other	
143A	[Neg-V]	Order of Negative Morpheme and Verb	Rastorgueva 1964: 35; Lambton 1967: 18	Word Order	
143E	[Neg-V]	Preverbal Negative Morphemes	Rastorgueva 1964: 35; Lambton 1967: 18	Word Order	
143F	None	Postverbal Negative Morphemes	Rastorgueva 1964: 35; Lambton 1967: 18	Word Order	
143G	None	Minor morphological means of signaling negation	Rastorgueva 1964: 35; Lambton 1967: 18	Word Order	
144A	MorphNeg	Position of Negative Word With Respect to Subject, Object, and Verb	Rastorgueva 1964: 35; Lambton 1967: 18	Word Order	
144L	SO[Neg-V]	The Position of Negative Morphemes in SOV Languages	Rastorgueva 1964: 35; Lambton 1967: 18	Word Order	
144P	No NegSOV	NegSOV Order	Rastorgueva 1964: 35; Lambton 1967: 18	Word Order	
144Q	No SNegOV	SNegOV Order	Rastorgueva 1964: 35; Lambton 1967: 18	Word Order	
144R	Prefix&NoDoubleNeg	SONegV Order	Rastorgueva 1964: 35; Lambton 1967: 18	Word Order	
144S	NoSOVNeg	SOVNeg Order	Rastorgueva 1964: 35; Lambton 1967: 18	Word Order	
